date,lottery,full_number,last_3,digit_1,digit_2,digit_3,day_of_week,day,month,lag_d1_1,lag_d2_1,lag_d3_1,lag_d1_2,lag_d2_2,lag_d3_2,lag_d1_3,lag_d2_3,lag_d3_3,lag_d1_4,lag_d2_4,lag_d3_4,lag_d1_5,lag_d2_5,lag_d3_5,delta_d1_1,delta_d2_1,delta_d3_1,delta_d1_2,delta_d2_2,delta_d3_2,delta_d1_3,delta_d2_3,delta_d3_3,roll_d1,roll_d2,roll_d3,dist_d1,dist_d2,dist_d3,is_even_d1,is_even_d2,is_even_d3
2025-10-07,Sthree Sakthi,313693,693,6,9,3,1,7,10,4.0,3.0,7.0,1.0,7.0,0.0,8.0,2.0,5.0,6.0,1.0,7.0,2.0,7.0,4.0,3.0,-4.0,7.0,-7.0,5.0,-5.0,2.0,1.0,-2.0,4.7,3.7,4.6,-0.7000000000000002,-0.7000000000000002,2.4000000000000004,1,0,0
2025-10-08,Dhanalekshmi,289424,424,4,2,4,2,8,10,6.0,9.0,3.0,4.0,3.0,7.0,1.0,7.0,0.0,8.0,2.0,5.0,6.0,1.0,7.0,2.0,6.0,-4.0,3.0,-4.0,7.0,-7.0,5.0,-5.0,4.4,4.6,4.2,1.5999999999999996,4.4,-1.2000000000000002,1,0,0
2025-10-09,Karunya Plus,511475,475,4,7,5,3,9,10,4.0,2.0,4.0,6.0,9.0,3.0,4.0,3.0,7.0,1.0,7.0,0.0,8.0,2.0,5.0,-2.0,-7.0,1.0,2.0,6.0,-4.0,3.0,-4.0,7.0,4.7,4.2,3.9,-0.7000000000000002,-2.2,0.10000000000000009,1,1,1
2025-10-10,Suvarna Keralam,265228,228,2,2,8,4,10,10,4.0,7.0,5.0,4.0,2.0,4.0,6.0,9.0,3.0,4.0,3.0,7.0,1.0,7.0,0.0,0.0,5.0,1.0,-2.0,-7.0,1.0,2.0,6.0,-4.0,5.0,4.2,3.9,-1.0,2.8,1.1,1,0,0
2025-10-11,Karunya,705767,767,7,6,7,5,11,10,2.0,2.0,8.0,4.0,7.0,5.0,4.0,2.0,4.0,6.0,9.0,3.0,4.0,3.0,7.0,-2.0,-5.0,3.0,0.0,5.0,1.0,-2.0,-7.0,1.0,4.6,4.2,4.5,-2.5999999999999996,-2.2,3.5,1,1,1
2025-10-12,Samrudhi,796935,935,9,3,5,6,12,10,7.0,6.0,7.0,2.0,2.0,8.0,4.0,7.0,5.0,4.0,2.0,4.0,6.0,9.0,3.0,5.0,4.0,-1.0,-2.0,-5.0,3.0,0.0,5.0,1.0,4.4,4.6,5.0,2.5999999999999996,1.4000000000000004,2.0,0,1,0
2025-10-13,Bhagyathara,219935,935,9,3,5,0,13,10,9.0,3.0,5.0,7.0,6.0,7.0,2.0,2.0,8.0,4.0,7.0,5.0,4.0,2.0,4.0,2.0,-3.0,-2.0,5.0,4.0,-1.0,-2.0,-5.0,3.0,5.1,4.2,5.1,3.9000000000000004,-1.2000000000000002,-0.09999999999999964,0,0,0
2025-10-14,Sthree Sakthi,649740,740,7,4,0,1,14,10,9.0,3.0,5.0,9.0,3.0,5.0,7.0,6.0,7.0,2.0,2.0,8.0,4.0,7.0,5.0,0.0,0.0,0.0,2.0,-3.0,-2.0,5.0,4.0,-1.0,5.4,4.4,4.9,3.5999999999999996,-1.4000000000000004,0.09999999999999964,0,0,0
2025-10-15,Dhanalekshmi,867458,458,4,5,8,2,15,10,7.0,4.0,0.0,9.0,3.0,5.0,9.0,3.0,5.0,7.0,6.0,7.0,2.0,2.0,8.0,-2.0,1.0,-5.0,0.0,0.0,0.0,2.0,-3.0,-2.0,5.3,4.6,4.4,1.7000000000000002,-0.5999999999999996,-4.4,0,1,1
2025-10-16,Karunya Plus,504987,987,9,8,7,3,16,10,4.0,5.0,8.0,7.0,4.0,0.0,9.0,3.0,5.0,9.0,3.0,5.0,7.0,6.0,7.0,-3.0,1.0,8.0,-2.0,1.0,-5.0,0.0,0.0,0.0,5.6,4.4,5.2,-1.5999999999999996,0.5999999999999996,2.8,1,0,1
2025-10-17,Suvarna Keralam,749913,913,9,1,3,4,17,10,9.0,8.0,7.0,4.0,5.0,8.0,7.0,4.0,0.0,9.0,3.0,5.0,9.0,3.0,5.0,5.0,3.0,-1.0,-3.0,1.0,8.0,-2.0,1.0,-5.0,6.1,4.9,5.2,2.9000000000000004,3.0999999999999996,1.7999999999999998,0,1,0
